"Ich bin mit der Teilnahme am 5DCR-Test einverstanden. (n = 15)";"Answer";"Count";"%";"Value";""
"";"Einzelne Arbeitsschritte für mich und andere zu konkretisieren fällt mir leicht.";"8";"2";"13.33";"9"
"";"Einzelne Arbeitsschritte für mich und andere zu konkretisieren fällt mir leicht.";"9";"2";"13.33";"10"
"";"Einzelne Arbeitsschritte für mich und andere zu konkretisieren fällt mir leicht.";"10";"0";"0";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"7.4"
"";"";"Standard Deviation";"";"";"1.58"
"";"";"";"";"";""
"Wie sicher fühlen Sie sich dabei, sachliche Kritik gegenüber Kollegen oder Vorgesetzten zu üben? (n = 15)";"Row";"Answer";"Count";"%";"Value"
"";"Sachliche Kritik (gegenüber meinen Kollegen, Mitarbeitern, Vorgesetzten etc.) zu üben ist eine meiner Stärken.";"0";"0";"0";"1"
"";"Sachliche Kritik (gegenüber meinen Kollegen, Mitarbeitern, Vorgesetzten etc.) zu üben ist eine meiner Stärken.";"1";"0";"0";"2"
"";"Sachliche Kritik (gegenüber meinen Kollegen, Mitarbeitern, Vorgesetzten etc.) zu üben ist eine meiner Stärken.";"2";"1";"6.67";"3"
"";"Sachliche Kritik (gegenüber meinen Kollegen, Mitarbeitern, Vorgesetzten etc.) zu üben ist eine meiner Stärken.";"3";"0";"0";"4"
"";"Sachliche Kritik (gegenüber meinen Kollegen, Mitarbeitern, Vorgesetzten etc.) zu üben ist eine meiner Stärken.";"4";"3";"20";"5"
"";"Sachliche Kritik (gegenüber meinen Kollegen, Mitarbeitern, Vorgesetzten etc.) zu üben ist eine meiner Stärken.";"5";"4";"26.67";"6"
"";"Sachliche Kritik (gegenüber meinen Kollegen, Mitarbeitern, Vorgesetzten etc.) zu üben ist eine meiner Stärken.";"6";"3";"20";"7"
"";"Sachliche Kritik (gegenüber meinen Kollegen, Mitarbeitern, Vorgesetzten etc.) zu üben ist eine meiner Stärken.";"7";"1";"6.67";"8"
"";"Sachliche Kritik (gegenüber meinen Kollegen, Mitarbeitern, Vorgesetzten etc.) zu üben ist eine meiner Stärken.";"8";"2";"13.33";"9"
"";"Sachliche Kritik (gegenüber meinen Kollegen, Mitarbeitern, Vorgesetzten etc.) zu üben ist eine meiner Stärken.";"9";"1";"6.67";"10"
"";"Sachliche Kritik (gegenüber meinen Kollegen, Mitarbeitern, Vorgesetzten etc.) zu üben ist eine meiner Stärken.";"10";"0";"0";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"6.6"
"";"";"Standard Deviation";"";"";"1.78"
"";"";"";"";"";""
"";"Es fällt mir leicht, anderen zu widersprechen.";"0";"0";"0";"1"
"";"Es fällt mir leicht, anderen zu widersprechen.";"1";"0";"0";"2"
"";"Es fällt mir leicht, anderen zu widersprechen.";"2";"0";"0";"3"
"";"Es fällt mir leicht, anderen zu widersprechen.";"3";"2";"13.33";"4"
"";"Es fällt mir leicht, anderen zu widersprechen.";"4";"0";"0";"5"
"";"Es fällt mir leicht, anderen zu widersprechen.";"5";"6";"40";"6"
"";"Es fällt mir leicht, anderen zu widersprechen.";"6";"4";"26.67";"7"
"";"Es fällt mir leicht, anderen zu widersprechen.";"7";"2";"13.33";"8"
"";"Es fällt mir leicht, anderen zu widersprechen.";"8";"1";"6.67";"9"
"";"Es fällt mir leicht, anderen zu widersprechen.";"9";"0";"0";"10"
"";"Es fällt mir leicht, anderen zu widersprechen.";"10";"0";"0";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"6.47"
"";"";"Standard Deviation";"";"";"1.31"
"";"";"";"";"";""
"";"Die eigene Meinung (gegenüber Kollegen, Mitarbeitern etc.) zu vertreten fällt mir leicht.";"0";"0";"0";"1"
"";"Die eigene Meinung (gegenüber Kollegen, Mitarbeitern etc.) zu vertreten fällt mir leicht.";"1";"0";"0";"2"
"";"Die eigene Meinung (gegenüber Kollegen, Mitarbeitern etc.) zu vertreten fällt mir leicht.";"2";"0";"0";"3"
"";"Die eigene Meinung (gegenüber Kollegen, Mitarbeitern etc.) zu vertreten fällt mir leicht.";"3";"0";"0";"4"
"";"Die eigene Meinung (gegenüber Kollegen, Mitarbeitern etc.) zu vertreten fällt mir leicht.";"4";"2";"13.33";"5"
"";"Die eigene Meinung (gegenüber Kollegen, Mitarbeitern etc.) zu vertreten fällt mir leicht.";"5";"3";"20";"6"
"";"Die eigene Meinung (gegenüber Kollegen, Mitarbeitern etc.) zu vertreten fällt mir leicht.";"6";"2";"13.33";"7"
"";"Die eigene Meinung (gegenüber Kollegen, Mitarbeitern etc.) zu vertreten fällt mir leicht.";"7";"3";"20";"8"
"";"Die eigene Meinung (gegenüber Kollegen, Mitarbeitern etc.) zu vertreten fällt mir leicht.";"8";"2";"13.33";"9"
"";"Die eigene Meinung (gegenüber Kollegen, Mitarbeitern etc.) zu vertreten fällt mir leicht.";"9";"1";"6.67";"10"
"";"Die eigene Meinung (gegenüber Kollegen, Mitarbeitern etc.) zu vertreten fällt mir leicht.";"10";"2";"13.33";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"7.73"
"";"";"Standard Deviation";"";"";"1.91"
"";"";"";"";"";""
"";"Unterbrechungen im Gespräch kann ich unterbinden.";"0";"0";"0";"1"
"";"Unterbrechungen im Gespräch kann ich unterbinden.";"1";"1";"6.67";"2"
"";"Unterbrechungen im Gespräch kann ich unterbinden.";"2";"0";"0";"3"
"";"Unterbrechungen im Gespräch kann ich unterbinden.";"3";"0";"0";"4"
"";"Unterbrechungen im Gespräch kann ich unterbinden.";"4";"2";"13.33";"5"
"";"Unterbrechungen im Gespräch kann ich unterbinden.";"5";"5";"33.33";"6"
"";"Unterbrechungen im Gespräch kann ich unterbinden.";"6";"1";"6.67";"7"
"";"Unterbrechungen im Gespräch kann ich unterbinden.";"7";"2";"13.33";"8"
"";"Unterbrechungen im Gespräch kann ich unterbinden.";"8";"2";"13.33";"9"
"";"Unterbrechungen im Gespräch kann ich unterbinden.";"9";"2";"13.33";"10"
"";"Unterbrechungen im Gespräch kann ich unterbinden.";"10";"0";"0";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"6.87"
"";"";"Standard Deviation";"";"";"2.09"
"";"";"";"";"";""
"";"Es fällt mir leicht, kritische Einschätzungen gegenüber Kollegen, Mitarbeitern etc. nachvollziehbar zu begründen.";"0";"0";"0";"1"
"";"Es fällt mir leicht, kritische Einschätzungen gegenüber Kollegen, Mitarbeitern etc. nachvollziehbar zu begründen.";"1";"0";"0";"2"
"";"Es fällt mir leicht, kritische Einschätzungen gegenüber Kollegen, Mitarbeitern etc. nachvollziehbar zu begründen.";"2";"0";"0";"3"
"";"Es fällt mir leicht, kritische Einschätzungen gegenüber Kollegen, Mitarbeitern etc. nachvollziehbar zu begründen.";"3";"1";"6.67";"4"
"";"Es fällt mir leicht, kritische Einschätzungen gegenüber Kollegen, Mitarbeitern etc. nachvollziehbar zu begründen.";"4";"0";"0";"5"
"";"Es fällt mir leicht, kritische Einschätzungen gegenüber Kollegen, Mitarbeitern etc. nachvollziehbar zu begründen.";"5";"2";"13.33";"6"
"";"Es fällt mir leicht, kritische Einschätzungen gegenüber Kollegen, Mitarbeitern etc. nachvollziehbar zu begründen.";"6";"1";"6.67";"7"
"";"Es fällt mir leicht, kritische Einschätzungen gegenüber Kollegen, Mitarbeitern etc. nachvollziehbar zu begründen.";"7";"7";"46.67";"8"
"";"Es fällt mir leicht, kritische Einschätzungen gegenüber Kollegen, Mitarbeitern etc. nachvollziehbar zu begründen.";"8";"2";"13.33";"9"
"";"Es fällt mir leicht, kritische Einschätzungen gegenüber Kollegen, Mitarbeitern etc. nachvollziehbar zu begründen.";"9";"1";"6.67";"10"
"";"Es fällt mir leicht, kritische Einschätzungen gegenüber Kollegen, Mitarbeitern etc. nachvollziehbar zu begründen.";"10";"1";"6.67";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"7.87"
"";"";"Standard Deviation";"";"";"1.63"
"";"";"";"";"";""
"Wie gut gelingt es Ihnen, andere zu herausragenden Leistungen anzuspornen? (n = 15)";"Row";"Answer";"Count";"%";"Value"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) zu herausragenden Leistungen anzuspornen ist eine meiner Stärken.";"0";"0";"0";"1"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) zu herausragenden Leistungen anzuspornen ist eine meiner Stärken.";"1";"0";"0";"2"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) zu herausragenden Leistungen anzuspornen ist eine meiner Stärken.";"2";"0";"0";"3"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) zu herausragenden Leistungen anzuspornen ist eine meiner Stärken.";"3";"1";"6.67";"4"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) zu herausragenden Leistungen anzuspornen ist eine meiner Stärken.";"4";"1";"6.67";"5"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) zu herausragenden Leistungen anzuspornen ist eine meiner Stärken.";"5";"4";"26.67";"6"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) zu herausragenden Leistungen anzuspornen ist eine meiner Stärken.";"6";"4";"26.67";"7"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) zu herausragenden Leistungen anzuspornen ist eine meiner Stärken.";"7";"2";"13.33";"8"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) zu herausragenden Leistungen anzuspornen ist eine meiner Stärken.";"8";"3";"20";"9"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) zu herausragenden Leistungen anzuspornen ist eine meiner Stärken.";"9";"0";"0";"10"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) zu herausragenden Leistungen anzuspornen ist eine meiner Stärken.";"10";"0";"0";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"6.93"
"";"";"Standard Deviation";"";"";"1.44"
"";"";"";"";"";""
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter etc.) entsprechend ihren Fähigkeiten zu fördern bzw. zu unterstützen.";"0";"0";"0";"1"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter etc.) entsprechend ihren Fähigkeiten zu fördern bzw. zu unterstützen.";"1";"0";"0";"2"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter etc.) entsprechend ihren Fähigkeiten zu fördern bzw. zu unterstützen.";"2";"0";"0";"3"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter etc.) entsprechend ihren Fähigkeiten zu fördern bzw. zu unterstützen.";"3";"0";"0";"4"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter etc.) entsprechend ihren Fähigkeiten zu fördern bzw. zu unterstützen.";"4";"3";"20";"5"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter etc.) entsprechend ihren Fähigkeiten zu fördern bzw. zu unterstützen.";"5";"1";"6.67";"6"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter etc.) entsprechend ihren Fähigkeiten zu fördern bzw. zu unterstützen.";"6";"3";"20";"7"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter etc.) entsprechend ihren Fähigkeiten zu fördern bzw. zu unterstützen.";"7";"2";"13.33";"8"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter etc.) entsprechend ihren Fähigkeiten zu fördern bzw. zu unterstützen.";"8";"4";"26.67";"9"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter etc.) entsprechend ihren Fähigkeiten zu fördern bzw. zu unterstützen.";"9";"1";"6.67";"10"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter etc.) entsprechend ihren Fähigkeiten zu fördern bzw. zu unterstützen.";"10";"1";"6.67";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"7.67"
"";"";"Standard Deviation";"";"";"1.81"
"";"";"";"";"";""
"";"Eine Arbeitsatmosphäre zu schaffen, in der zielgerichtete Aktivität geschätzt und belohnt wird, ist eine meiner Stärken.";"0";"0";"0";"1"
"";"Eine Arbeitsatmosphäre zu schaffen, in der zielgerichtete Aktivität geschätzt und belohnt wird, ist eine meiner Stärken.";"1";"0";"0";"2"
"";"Eine Arbeitsatmosphäre zu schaffen, in der zielgerichtete Aktivität geschätzt und belohnt wird, ist eine meiner Stärken.";"2";"1";"6.67";"3"
"";"Eine Arbeitsatmosphäre zu schaffen, in der zielgerichtete Aktivität geschätzt und belohnt wird, ist eine meiner Stärken.";"3";"1";"6.67";"4"
"";"Eine Arbeitsatmosphäre zu schaffen, in der zielgerichtete Aktivität geschätzt und belohnt wird, ist eine meiner Stärken.";"4";"0";"0";"5"
"";"Eine Arbeitsatmosphäre zu schaffen, in der zielgerichtete Aktivität geschätzt und belohnt wird, ist eine meiner Stärken.";"5";"3";"20";"6"
"";"Eine Arbeitsatmosphäre zu schaffen, in der zielgerichtete Aktivität geschätzt und belohnt wird, ist eine meiner Stärken.";"6";"2";"13.33";"7"
"";"Eine Arbeitsatmosphäre zu schaffen, in der zielgerichtete Aktivität geschätzt und belohnt wird, ist eine meiner Stärken.";"7";"7";"46.67";"8"
"";"Eine Arbeitsatmosphäre zu schaffen, in der zielgerichtete Aktivität geschätzt und belohnt wird, ist eine meiner Stärken.";"8";"0";"0";"9"
"";"Eine Arbeitsatmosphäre zu schaffen, in der zielgerichtete Aktivität geschätzt und belohnt wird, ist eine meiner Stärken.";"9";"0";"0";"10"
"";"Eine Arbeitsatmosphäre zu schaffen, in der zielgerichtete Aktivität geschätzt und belohnt wird, ist eine meiner Stärken.";"10";"1";"6.67";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"7.07"
"";"";"Standard Deviation";"";"";"1.84"
"";"";"";"";"";""
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) für eine Idee zu begeistern fällt mir leicht.";"0";"0";"0";"1"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) für eine Idee zu begeistern fällt mir leicht.";"1";"0";"0";"2"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) für eine Idee zu begeistern fällt mir leicht.";"2";"0";"0";"3"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) für eine Idee zu begeistern fällt mir leicht.";"3";"0";"0";"4"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) für eine Idee zu begeistern fällt mir leicht.";"4";"1";"6.67";"5"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) für eine Idee zu begeistern fällt mir leicht.";"5";"3";"20";"6"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) für eine Idee zu begeistern fällt mir leicht.";"6";"3";"20";"7"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) für eine Idee zu begeistern fällt mir leicht.";"7";"4";"26.67";"8"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) für eine Idee zu begeistern fällt mir leicht.";"8";"1";"6.67";"9"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) für eine Idee zu begeistern fällt mir leicht.";"9";"3";"20";"10"
"";"Andere (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) für eine Idee zu begeistern fällt mir leicht.";"10";"0";"0";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"7.67"
"";"";"Standard Deviation";"";"";"1.53"
"";"";"";"";"";""
"";"Andere (Kollegen etc.) dazu zu befähigen, hervorragende Leistungen zu erbringen, ist eine meiner Stärken.";"0";"0";"0";"1"
"";"Andere (Kollegen etc.) dazu zu befähigen, hervorragende Leistungen zu erbringen, ist eine meiner Stärken.";"1";"0";"0";"2"
"";"Andere (Kollegen etc.) dazu zu befähigen, hervorragende Leistungen zu erbringen, ist eine meiner Stärken.";"2";"0";"0";"3"
"";"Andere (Kollegen etc.) dazu zu befähigen, hervorragende Leistungen zu erbringen, ist eine meiner Stärken.";"3";"2";"13.33";"4"
"";"Andere (Kollegen etc.) dazu zu befähigen, hervorragende Leistungen zu erbringen, ist eine meiner Stärken.";"4";"0";"0";"5"
"";"Andere (Kollegen etc.) dazu zu befähigen, hervorragende Leistungen zu erbringen, ist eine meiner Stärken.";"5";"5";"33.33";"6"
"";"Andere (Kollegen etc.) dazu zu befähigen, hervorragende Leistungen zu erbringen, ist eine meiner Stärken.";"6";"2";"13.33";"7"
"";"Andere (Kollegen etc.) dazu zu befähigen, hervorragende Leistungen zu erbringen, ist eine meiner Stärken.";"7";"2";"13.33";"8"
"";"Andere (Kollegen etc.) dazu zu befähigen, hervorragende Leistungen zu erbringen, ist eine meiner Stärken.";"8";"1";"6.67";"9"
"";"Andere (Kollegen etc.) dazu zu befähigen, hervorragende Leistungen zu erbringen, ist eine meiner Stärken.";"9";"3";"20";"10"
"";"Andere (Kollegen etc.) dazu zu befähigen, hervorragende Leistungen zu erbringen, ist eine meiner Stärken.";"10";"0";"0";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"7.13"
"";"";"Standard Deviation";"";"";"1.93"
"";"";"";"";"";""
"Wie gut gelingt es Ihnen, andere Meinungen zu akzeptieren und zu berücksichtigen? (n = 15)";"Row";"Answer";"Count";"%";"Value"
"";"Andere Meinungen (von Kollegen, Mitarbeitern, Geschäftspartnern etc.) zu berücksichtigen fällt mir leicht.";"0";"0";"0";"1"
"";"Andere Meinungen (von Kollegen, Mitarbeitern, Geschäftspartnern etc.) zu berücksichtigen fällt mir leicht.";"1";"0";"0";"2"
"";"Andere Meinungen (von Kollegen, Mitarbeitern, Geschäftspartnern etc.) zu berücksichtigen fällt mir leicht.";"2";"0";"0";"3"
"";"Andere Meinungen (von Kollegen, Mitarbeitern, Geschäftspartnern etc.) zu berücksichtigen fällt mir leicht.";"3";"0";"0";"4"
"";"Andere Meinungen (von Kollegen, Mitarbeitern, Geschäftspartnern etc.) zu berücksichtigen fällt mir leicht.";"4";"1";"6.67";"5"
"";"Andere Meinungen (von Kollegen, Mitarbeitern, Geschäftspartnern etc.) zu berücksichtigen fällt mir leicht.";"5";"2";"13.33";"6"
"";"Andere Meinungen (von Kollegen, Mitarbeitern, Geschäftspartnern etc.) zu berücksichtigen fällt mir leicht.";"6";"3";"20";"7"
"";"Andere Meinungen (von Kollegen, Mitarbeitern, Geschäftspartnern etc.) zu berücksichtigen fällt mir leicht.";"7";"5";"33.33";"8"
"";"Andere Meinungen (von Kollegen, Mitarbeitern, Geschäftspartnern etc.) zu berücksichtigen fällt mir leicht.";"8";"2";"13.33";"9"
"";"Andere Meinungen (von Kollegen, Mitarbeitern, Geschäftspartnern etc.) zu berücksichtigen fällt mir leicht.";"9";"1";"6.67";"10"
"";"Andere Meinungen (von Kollegen, Mitarbeitern, Geschäftspartnern etc.) zu berücksichtigen fällt mir leicht.";"10";"1";"6.67";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"7.8"
"";"";"Standard Deviation";"";"";"1.51"
"";"";"";"";"";""
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter, Vorgesetzte, Geschäftspartner etc.) so zu akzeptieren, wie sie sind.";"0";"0";"0";"1"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter, Vorgesetzte, Geschäftspartner etc.) so zu akzeptieren, wie sie sind.";"1";"0";"0";"2"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter, Vorgesetzte, Geschäftspartner etc.) so zu akzeptieren, wie sie sind.";"2";"0";"0";"3"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter, Vorgesetzte, Geschäftspartner etc.) so zu akzeptieren, wie sie sind.";"3";"0";"0";"4"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter, Vorgesetzte, Geschäftspartner etc.) so zu akzeptieren, wie sie sind.";"4";"2";"13.33";"5"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter, Vorgesetzte, Geschäftspartner etc.) so zu akzeptieren, wie sie sind.";"5";"4";"26.67";"6"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter, Vorgesetzte, Geschäftspartner etc.) so zu akzeptieren, wie sie sind.";"6";"0";"0";"7"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter, Vorgesetzte, Geschäftspartner etc.) so zu akzeptieren, wie sie sind.";"7";"0";"0";"8"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter, Vorgesetzte, Geschäftspartner etc.) so zu akzeptieren, wie sie sind.";"8";"6";"40";"9"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter, Vorgesetzte, Geschäftspartner etc.) so zu akzeptieren, wie sie sind.";"9";"2";"13.33";"10"
"";"Es fällt mir leicht, andere (Kollegen, Mitarbeiter, Vorgesetzte, Geschäftspartner etc.) so zu akzeptieren, wie sie sind.";"10";"1";"6.67";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"7.93"
"";"";"Standard Deviation";"";"";"1.95"
"";"";"";"";"";""
"";"Auf Vorschläge anderer (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) einzugehen fällt mir leicht.";"0";"0";"0";"1"
"";"Auf Vorschläge anderer (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) einzugehen fällt mir leicht.";"1";"0";"0";"2"
"";"Auf Vorschläge anderer (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) einzugehen fällt mir leicht.";"2";"0";"0";"3"
"";"Auf Vorschläge anderer (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) einzugehen fällt mir leicht.";"3";"0";"0";"4"
"";"Auf Vorschläge anderer (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) einzugehen fällt mir leicht.";"4";"0";"0";"5"
"";"Auf Vorschläge anderer (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) einzugehen fällt mir leicht.";"5";"3";"20";"6"
"";"Auf Vorschläge anderer (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) einzugehen fällt mir leicht.";"6";"3";"20";"7"
"";"Auf Vorschläge anderer (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) einzugehen fällt mir leicht.";"7";"4";"26.67";"8"
"";"Auf Vorschläge anderer (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) einzugehen fällt mir leicht.";"8";"2";"13.33";"9"
"";"Auf Vorschläge anderer (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) einzugehen fällt mir leicht.";"9";"1";"6.67";"10"
"";"Auf Vorschläge anderer (Kollegen, Mitarbeiter, Kunden, Geschäftspartner etc.) einzugehen fällt mir leicht.";"10";"2";"13.33";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"8.07"
"";"";"Standard Deviation";"";"";"1.61"
"";"";"";"";"";""
"";"Auf die Bedürfnisse anderer (Kollegen, Mitarbeiter, Geschäftspartner etc.) einzugehen ist eine meiner Stärken.";"0";"0";"0";"1"
"";"Auf die Bedürfnisse anderer (Kollegen, Mitarbeiter, Geschäftspartner etc.) einzugehen ist eine meiner Stärken.";"1";"0";"0";"2"
"";"Auf die Bedürfnisse anderer (Kollegen, Mitarbeiter, Geschäftspartner etc.) einzugehen ist eine meiner Stärken.";"2";"0";"0";"3"
"";"Auf die Bedürfnisse anderer (Kollegen, Mitarbeiter, Geschäftspartner etc.) einzugehen ist eine meiner Stärken.";"3";"0";"0";"4"
"";"Auf die Bedürfnisse anderer (Kollegen, Mitarbeiter, Geschäftspartner etc.) einzugehen ist eine meiner Stärken.";"4";"0";"0";"5"
"";"Auf die Bedürfnisse anderer (Kollegen, Mitarbeiter, Geschäftspartner etc.) einzugehen ist eine meiner Stärken.";"5";"1";"6.67";"6"
"";"Auf die Bedürfnisse anderer (Kollegen, Mitarbeiter, Geschäftspartner etc.) einzugehen ist eine meiner Stärken.";"6";"4";"26.67";"7"
"";"Auf die Bedürfnisse anderer (Kollegen, Mitarbeiter, Geschäftspartner etc.) einzugehen ist eine meiner Stärken.";"7";"3";"20";"8"
"";"Auf die Bedürfnisse anderer (Kollegen, Mitarbeiter, Geschäftspartner etc.) einzugehen ist eine meiner Stärken.";"8";"3";"20";"9"
"";"Auf die Bedürfnisse anderer (Kollegen, Mitarbeiter, Geschäftspartner etc.) einzugehen ist eine meiner Stärken.";"9";"3";"20";"10"
"";"Auf die Bedürfnisse anderer (Kollegen, Mitarbeiter, Geschäftspartner etc.) einzugehen ist eine meiner Stärken.";"10";"1";"6.67";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"8.4"
"";"";"Standard Deviation";"";"";"1.4"
"";"";"";"";"";""
"";"Ich kann mich gut auf andere einstellen.";"0";"0";"0";"1"
"";"Ich kann mich gut auf andere einstellen.";"1";"0";"0";"2"
"";"Ich kann mich gut auf andere einstellen.";"2";"0";"0";"3"
"";"Ich kann mich gut auf andere einstellen.";"3";"0";"0";"4"
"";"Ich kann mich gut auf andere einstellen.";"4";"1";"6.67";"5"
"";"Ich kann mich gut auf andere einstellen.";"5";"2";"13.33";"6"
"";"Ich kann mich gut auf andere einstellen.";"6";"1";"6.67";"7"
"";"Ich kann mich gut auf andere einstellen.";"7";"4";"26.67";"8"
"";"Ich kann mich gut auf andere einstellen.";"8";"3";"20";"9"
"";"Ich kann mich gut auf andere einstellen.";"9";"3";"20";"10"
"";"Ich kann mich gut auf andere einstellen.";"10";"1";"6.67";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"8.27"
"";"";"Standard Deviation";"";"";"1.65"
"";"";"";"";"";""
"Wie leicht fällt es Ihnen, neue Arbeitskontakte zu knüpfen? (n = 15)";"Row";"Answer";"Count";"%";"Value"
"";"Es fällt mir leicht, auf andere (Kollegen, Mitarbeiter, Kunden oder Geschäftspartner) zuzugehen.";"0";"0";"0";"1"
"";"Es fällt mir leicht, auf andere (Kollegen, Mitarbeiter, Kunden oder Geschäftspartner) zuzugehen.";"1";"0";"0";"2"
"";"Es fällt mir leicht, auf andere (Kollegen, Mitarbeiter, Kunden oder Geschäftspartner) zuzugehen.";"2";"0";"0";"3"
"";"Es fällt mir leicht, auf andere (Kollegen, Mitarbeiter, Kunden oder Geschäftspartner) zuzugehen.";"3";"1";"6.67";"4"
"";"Es fällt mir leicht, auf andere (Kollegen, Mitarbeiter, Kunden oder Geschäftspartner) zuzugehen.";"4";"0";"0";"5"
"";"Es fällt mir leicht, auf andere (Kollegen, Mitarbeiter, Kunden oder Geschäftspartner) zuzugehen.";"5";"4";"26.67";"6"
"";"Es fällt mir leicht, auf andere (Kollegen, Mitarbeiter, Kunden oder Geschäftspartner) zuzugehen.";"6";"1";"6.67";"7"
"";"Es fällt mir leicht, auf andere (Kollegen, Mitarbeiter, Kunden oder Geschäftspartner) zuzugehen.";"7";"3";"20";"8"
"";"Es fällt mir leicht, auf andere (Kollegen, Mitarbeiter, Kunden oder Geschäftspartner) zuzugehen.";"8";"3";"20";"9"
"";"Es fällt mir leicht, auf andere (Kollegen, Mitarbeiter, Kunden oder Geschäftspartner) zuzugehen.";"9";"1";"6.67";"10"
"";"Es fällt mir leicht, auf andere (Kollegen, Mitarbeiter, Kunden oder Geschäftspartner) zuzugehen.";"10";"2";"13.33";"11"
"";"";"";"";"";""
"";"";"Average";"";"";"7.87"
"";"";"Standard Deviation";"";"";"1.96"
"";"";"";"";"";""
"";"Neue Arbeitskontakte zu knüpfen gehört zu meinen Stärken.";"0";"0";"0";"1"
"";"Neue Arbeitskontakte zu knüpfen gehört zu meinen Stärken.";"1";"0";"0";"2"
"";"Neue Arbeitskontakte zu knüpfen gehört zu meinen Stärken.";"2";"0";"0";"3"
